kod_sekolah,name,address,latitude,longitude,ppd,school_type,,sebab_ralat
ABC6083,SEKOLAH JENIS KEBANGSAAN (CINA) PHOOI WAH,JALAN BESAR, JELAI,5.012715859,100.8099066,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'JELAI'
ABC9001,SEKOLAH JENIS KEBANGSAAN (CINA) NEW KOPISAN,JALAN SEKOLAH, KOPISAN BARU,4.461803,101.162647,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'KOPISAN BARU'
ABC9003,SEKOLAH JENIS KEBANGSAAN (CINA) LAWAN KUDA BARU,JALAN 4, LAWAN KUDA BARU,4.45115,101.161777,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'LAWAN KUDA BARU'
ABC9008,SEKOLAH JENIS KEBANGSAAN (CINA) MAMBANG DIAWAN,JALAN BELIDA, MAMBANG DI AWAN,4.26681,101.144763,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'MAMBANG DI AWAN'
ABC9012,SEKOLAH JENIS KEBANGSAAN (CINA) YU YING,JALAN TENGAS, MAMBANG DIAWAN,4.261242,101.147196,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'MAMBANG DIAWAN'
ABCA001,SEKOLAH JENIS KEBANGSAAN (CINA) HO PIN,KAMPUNG BARU, SLIM VILLAGE,3.850721,101.47924,PPD BATANG PADANG,['RENDAH'],could not convert string to float: 'SLIM VILLAGE'
ABCA005,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG SIN,121-122, JLN KETOYONG,3.684052,101.520456,PPD BATANG PADANG,['RENDAH'],could not convert string to float: 'JLN KETOYONG'
ABCB001,SEKOLAH JENIS KEBANGSAAN (CINA) YEONG SENG,BATU 10, JENDARATA,3.913763,100.945371,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'JENDARATA'
ABCB008,SEKOLAH JENIS KEBANGSAAN (CINA) HUA HSIA,JALAN PASAR, BAGAN DATOH,3.989119,100.785163,PPD BAGAN DATUK,['RENDAH'],could not convert string to float: 'BAGAN DATOH'
ABCB010,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG TIGA,BATU 24, SIMPANG 3, JALAN BAGAN DATOH,3.932895,100.776274,"['PPD BAGAN DATUK', 'RENDAH']",could not convert string to float: 'JALAN BAGAN DATOH'
ABD0084,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI KRUIT,LOT 4857, LADANG SUNGAI KRUIT,3.988633238,101.3387776,PPD BATANG PADANG,['RENDAH'],could not convert string to float: 'LADANG SUNGAI KRUIT'
ABD0106,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BANOPDANE,BATU 4, JALAN TELUK INTAN,4.094454,101.25486,PPD BATANG PADANG,['RENDAH'],could not convert string to float: 'JALAN TELUK INTAN'
ABD2160,SEKOLAH JENIS KEBANGSAAN (TAMIL) ST PHILOMENA CONVENT,NO 45B, JALAN SILIBIN,4.60230573,101.0693379,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'JALAN SILIBIN'
ABD2163,SEKOLAH JENIS KEBANGSAAN (TAMIL) METHODIST,JALAN MADRAS, BUNTONG,4.590871,101.06091,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'BUNTONG'
ABD2164,SEKOLAH JENIS KEBANGSAAN (TAMIL) CHETTIARS,JLN LAHAT ,IPOH,4.589650442,101.0732956,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'IPOH'
ABD2167,SEKOLAH JENIS KEBANGSAAN (TAMIL) GUNONG RAPAT,MAIN ROAD, GUNUNG RAPAT,4.572999909,101.1187101,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'GUNUNG RAPAT'
ABD2175,SEKOLAH JENIS KEBANGSAAN (TAMIL) KLEBANG,JALAN KUALA KANGSAR, IPOH,4.683972079,101.1201077,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'IPOH'
